County,Area (sq mi)
Alameda,737.57
Alpine,738.62
Amador,592.97
Butte, 1639.49
Calaveras,1020.04
Colusa,1150.68
Contra Costa,719.95
Del Norte,1007.81
El Dorado,1710.85
Fresno,5962.73
Glenn,1314.79
Humboldt,3572.49
Imperial,4174.73
Inyo,10203.10
Kern,8140.96
Kings,1390.99
Lake,1257.96
Lassen,4557.27
Los Angeles,4060.87
Madera,2135.86
Marin,519.8
Mariposa,1451.12
Mendocino,3508.97
Merced,1928.69
Modoc,3944.1
Mono,3044.4
Monterey,3321.95
Napa,753.73
Nevada,957.61
Orange,789.4
Placer,1404.37
Plumas,2553.69
Riverside,7207.37
Sacramento,965.65
San Benito,1389.06
San Bernardino,20052.5
San Diego,4199.89
San Francisco,46.69
San Joaquin,1399.28
San Luis Obispo,3304.32
San Mateo,449.07
Santa Barbara,2737.01
Santa Clara,1290.69
Santa Cruz,445.24
Shasta,3785.19
Sierra,953.38
Siskiyou,6288.78
Solano,829.19
Sonoma,1575.88
Stanislaus,1493.79
Sutter,602.54
Tehama,2950.99
Trinity,3178.61
Tulare,4823.97
Tuolumne,2355.41
Ventura,1845.3
Yolo,1013.27
Yuba,630.69